URL,Description,character_count,Monthly Rent,Beds,Baths,Sqft
https://www.hotpads.com/286-bowen-st-boston-ma-02127-tmzcg3/pad-for-sublet,This is a Boston Apartment located at 286 Bowen St. The property features 5 BR rental units available starting at $1625. Amenities include On-Site Laundry. Contact us for a showing.,,"$8,125 - $9,250",5,3,
https://www.hotpads.com/24-westland-ave-boston-ma-02115-skeqqh/24/pad,,,"$2,195 ",Studio,1,275
https://www.hotpads.com/77-bailey-rd-somerville-ma-02145-skxcsm/2/pad,"AVAILABLE Sept 15, or Sooner. Ten Hills- Updated SUPER SUNNY, 2nd Floor apt has 7 Rooms, 3 Bedrooms. 1.5 baths, granite counters, eat-in kit, loads of hardwood, heated Sun Room. Conveniently located- walk to T bus stop to Boston, Assembly Square Mall ""Blessing Of The Bay Boat House"", Foss Park, Broadway and more.",,"$3,800 ",3,1.5,1450
https://www.hotpads.com/38-derby-st-somerville-ma-02145-utdxf5/1/pad,"Address: 48 Derby St., #1, Somerville, MA 02145 (Winter Hill) Available 9/1/2023!! DON""T MISS OUT ON THIS STUNNING BRAND NEW RENOVATION OF A TRIPLE DECKER IN WINTER HILL SOMERVILLE! ALL THE BELLS AND WHISTLES INCLUDING: CENTRAL AC, LAUNDRY IN UNIT, TWO BRAND NEW BATH CERAMIC TILE. BRAND NEW HIGH END KITCHEN WITH DW-D, GRANITE COUNTERS, GE STAINLESS STEEL APPLIANCES, NEW CABINETS HIGH QUALITY HARDWARE, GLEAMING HARDWOOD FLOORS, FULLY INSULATED, THERMOPANE HIGH EFFICIENCY WINDOWS, DECKS OF THE BACK AND MUCH MORE",,"$4,370 ",4,2,
https://www.hotpads.com/23-cortes-st-boston-ma-02116-skeq4j/6/pad,"Great 1 bed located in Bay Village! This apartment offers lots of convenience and easy to get to Longwood, Northeastern, Wentworth, MCPHS, Mass Art, BMC, MGH and many other colleges & destinations in the city. Enjoy having countless options for food, coffee, shopping, groceries, nightlife, and convenience in walking distance, with plenty of public transportation options as well. * Hardwood floors * kitchen with dishwasher * Laundry in building * updated bathroom This well-lit apartment offers a comfortable layout and great storage. There are hardwood floors throughout, updated kitchen with dishwasher, and Laundry is also in the building.",,"$2,800 ",1,1,400
https://www.hotpads.com/42-garden-st-boston-ma-02114-sker68/1/pad,"Welcome home! A unique 2-bed, 2-bath home in the heart of Beacon Hill. We recently gut-renovated it with modern fixtures and appliances while maintaining the historic charm. We prioritized multi-functional spaces, ample kitchen space with updated applianced, open concept living, storage space, and comfort. The kitchen has ample space for storage and many working surfaces. The appliances are Thermador and Miele all updated within the last year. The den is great for hosting and there is a fold out table if you want to have a true sit-down meal with friends and family (beyond the counter space which can seat 4 comfortably). Built into the cabinets is a desk with a second computer monitor hookup ready to go. Downstairs is a second bedroom with a murphy bed and plenty of storage. Use it as an office or as a bedroom or both! Each bedroom has it's own dedicated bathroom with heated floors and new fixtures. The home is centrally located two blocks from Flour Bakery, Whole Foods, and MGH, 4 min walk to Boston Common, 15 walk to the North End and near to the Red, Blue, and Green T lines.",,"$5,500 ",2,2,794
https://www.hotpads.com/boston-ma-02128-tqcf0r/1/pad,"**No Broker Fee Jeffries Point, is a 2 Bed/2 Bath with over 1000 sq ft of living area including private entry from 3rd fl. VIEWS of Boston's skyline from the unit. 2 Large Bedrooms, both have walk in closets! Main bedroom w/en suite bath. Tons of natural light pours through numerous oversized windows. Kitchen has Quartz Countertops, shaker cabinetry and stainless appliances. Open concept w/large living area. Plenty of closet space throughout unit. Large second bedroom also has Walk In Closet. Central AC, in-unit laundry, recessed lighting. Common BACKYARD, perfect for outdoor entertaining! Walk to East Boston's beautiful waterfront parks, Maverick T Station and be on major highways or at Logan Airport in less than 5 minutes! Multiple desirable restaurants/bars in the neighborhood with more to come! Security deposit negotiable. Lease through 8/31/24. Cats are OK for an additional $150 per month. Dogs are approved on a case by case basis for an additional $200 per month. *All showings require a minimum of 24 hr notice**",,"$4,100 ",2,2,967
https://www.hotpads.com/28-sycamore-st-somerville-ma-02143-skfxdd/1/pad,"Charming 2BD In Somerville!! Located near the new Gilman Square Green Line, Davis Square, and Union Square - Available 9/1 This lovely apartment boasts gorgeous hardwood floors, high ceilings, large windows for adequate natural light, 2 large bedrooms each with good closet space, big living room, formal dining room separated by two gorgeous french doors, and a built in hutch. The eat in kitchen features a dishwasher, electric stove with glass cook top, plentiful cabinets, plenty of counter space and even a breakfast nook. The apartment also has a 3 season porch off the back as well as shared outdoor space perfect for grilling and entertaining Street parking Coin op Laundry in building No Pets Amazing location. Walking distance to several restaurants, cafes and shops. Steps from Gilman Square, 1 mile to Davis Square. Steps from major bus routes (80+88 Lechmere, 90 Davis/Wellington). Easy access to I-93. Plenty of on street parking available with permit. Available September 1",,"$2,900 ",2,1,1200
https://www.hotpads.com/147-willow-ave-somerville-ma-02144-1j4vuc6/2/pad,Large 3 bed Hardwood floors Nice big front and back porch Great location near bike bath Davis Dq All utilities Included! Laundry in the basement,,"$3,800 ",3,1,
https://www.hotpads.com/110-howland-st-boston-ma-02121-1j4pvg6/1/pad,"Welcome to 110 Howland Street, managed by Groma. These apartments are perfectly located for convenient commuter access to Downtown Boston as well as Jamaica Plain and the Franklin Park Zoo. Additionally, this property is conveniently located for a variety of universities and academic centers including Northeastern University, Wentworth, and Emmanuel College. Groma is a Boston-based management, investment, and development company with a focus on smart-living all around the greater Boston area. We take pride in delivering the highest standard of management care possible to those who choose to make our apartments their home. This apartment's marketing is representative of this unit's layout, appearance, and amenities, however, the images shown may be of a similar unit and not the actual apartment. Renting at a Groma Property Always Includes: - Groma's in-house Maintenance Team - 24/7 Emergency Contact - Snow Removal Service - Cleaning Service Partner Discount - Resident Center Portal Not Included in Rent: - Rubbish Removal Service - Water & Sewage",,"$2,995 ",4,1,
https://www.hotpads.com/95-2nd-st-cambridge-ma-02141-spthxz/pad,"Located on the 2nd floor in the southeast corner of a professionally managed 6-unit building in Kendall Square. Fantastic natural light throughout the day. 2004 renovation and efficient layout with 2 bedrooms (1 bathroom) and a comfortable living area. Recent updates include kitchen appliances and insulated windows. Rent includes heat, hot water, water, sewer, trash collection, snow removal, and laundry facilities. Pets with approval! Private basement storage and bike parking. Laundry is in building within the basement. Convenient to the Red Line in Kendall Square (12 minute walk) , Lechmere Green line T (4 min walk), MIT (12 min walk), the Charles and many independent restaurants & shops. Quick commute to downtown Boston. Star Market grocery store is only a 13 min walk away for all of your grocery needs! On street parking is widely available with a 25$ annual Cambridge permit. Additionally, the City's rental garage is less than a block away.",,"$2,900 ",2,1,510
https://www.hotpads.com/90-westland-ave-boston-ma-02115-skfe1x/603/pad,"Gorgeous top floor One Bedroom apartment available on Westland Ave! Available Now or 09/01. This front facing top floor unit features Central Air/ Heat, gleaming hardwood floors, dining area, large living room with two sky lights allowing for ample sun! Granite kitchen with breakfast bar, dishwasher, microwave and plenty of cabinet space, large bedroom with closet. Elevator and laundry in building. Prime location a stones throw away to Whole Foods and a super short walk to Hynes CC, Mass Ave, NEU, Berklee and all nearby colleges and attractions! Must see. For more info or to schedule a tour please contact Safi today!",,"$3,100 ",1,1,570
https://www.hotpads.com/1421-columbia-rd-boston-ma-02127-1j4r1nj/3/pad,"This cozy 1-bedroom apartment is ideally situated just steps away from the sandy shores of Carson Beach, making it perfect for beach enthusiasts and those who enjoy an active outdoor lifestyle. With an emphasis on modern amenities and pet-friendly living, this unit offers an unparalleled experience in urban coastal living. Amenities: In-unit laundry: No need to leave the comfort of your home to do laundry. Pet-friendly: This rental warmly welcomes your furry companions, offering a community that embraces pets. 24/7 Fitness Center",,"$3,000 ",1,1,700
https://www.hotpads.com/50-charlesbank-rd-newton-ma-02458-1j574ea/pad,"This is a furnished studio apartment. Rent includes all utilities (heat, water, electricity and internet). One parking space available.",,"$1,500 ",1,1,600
https://www.hotpads.com/72-hobson-st-brighton-ma-02135-tqvhtj/u2/pad,"Renovated 4 bedroom 2 bath unit with an eat in kitchen, dishwasher & disposal, laundry in unit, hardwood floors, dining room, deck and a yard. Pet friendly, available for Sept 1st. Easy street parking with no permit, conveniently located near public transportation and easy access to Mass Pike & Storrow drive.",,"$3,600 ",4,2,1600
https://www.hotpads.com/37-commonwealth-ave-chestnut-hill-ma-02467-skfgq2/11/pad,"BC Campus, 1B/1B with in-unit laundry & parking for $3200 from 9/7/2023 Experience Newton's prime location in this immaculate 1BR/1BA apartment. The modern unit boasts a new gourmet kitchen equipped with stainless steel appliances, granite countertops, and ample cabinets for effortless cooking. Hardwood floors lead you to a cozy living room with a charming brick-faced fireplace, perfect for relaxation. Enjoy the convenience of in-unit laundry and one parking space. This unmatched location offers easy access to nearby restaurants, shops, golf courses, and Chestnut Hill reservations. Boston College is within reach, and commuting is a breeze with nearby Mass Pike, Route 9, and 128/95. Alternatively, access green Line stations on foot for stress-free travel. Don't miss out on this gem! No Pets Allowed (RLNE8190365)",,"$3,200 ",1,1,725
https://www.hotpads.com/45-pleasant-st-winthrop-ma-02152-1j4xnch/pad,"Gorgeous 3-bedroom apartment showcasing stunning hardwood flooring throughout. Conveniently located next to a bus stop, this unit offers a spacious living room, dining area, and an office space. The lovely kitchen is equipped with modern appliances, granite countertops, and ample cabinet space. Abundant windows flood the unit with natural light, creating a bright and cheerful atmosphere. Nestled in the picturesque seaside town of Winthrop, known for its idyllic charm, yacht clubs, and beautiful beaches, this apartment provides the perfect retreat. With easy access to the bus route, you can leave your car behind and enjoy a hassle-free daily commute to Boston without worrying about parking. Tenant must have excellent credit with a minumum score of 680+ also total income must be at least 3X's the rent monthly",,"$2,700 ",3,1,1100
https://www.hotpads.com/7-brewster-st-boston-ma-02127-swj666/1/pad,"Avail 9/1! Excellent 2 bed/ 1.5 bath near the beach! Spacious living room area with tons of natural light streaming from the bay windows, and half bath just off of the living area. The eat in kitchen has granite countertops, gas range, dishwasher, ample cabinet space, and a dining nook. Off the dining area is a private shaded deck. The lower living level has two oversized bedrooms with great closet space. Full bath is located between bedrooms as well as in unit laundry. Off the back bedroom there is access to the private patio. Easy access to public transportation, major highways & Boston!",,"$3,600 ",2,1.5,941
https://www.hotpads.com/309-newton-st-waltham-ma-02453-ut2fyr/309/pad,"3 bed, 1 bath apartment in a 2 family home available in Waltham! This second floor unit is located just 2 blocks from Moody Street and 1 mile away from Brandeis. Enter the unit and be greeted by an open living room which leads into the kitchen. 3 bedrooms and the bathroom are located in the hall next to the kitchen. Entrance to the porch located at the back of the unit. The unit has gas heating and laundry in the basement. No pets please. On street parking only. Tenant pays for heat and electricity. Landlords covers water, sewer, landscaping, and snow removal. First months rent, one months rent security deposit, and one months rent broker fee due at lease signing. Available for move in 9/1!",,"$2,800 ",3,1,1027
https://www.hotpads.com/8-lilac-ct-cambridge-ma-02141-1j4vhny/1/pad,"Available 9/1/23! Super cool and unique 3 bed 2 bath located on Lilcac Court in Cambridge! This unit is very modern and comes complete with hardwood floors and very high ceilings. The kitchen is modern with all stainless steel appliances, including a dishwasher, oven/range, and a fridge. Living area has high vaulted ceilings and gets drenched in sunlight! This is for sure the heart of the home, making it great for hosting! All 3 bedrooms are a great size and will have no trouble fitting a full sized bed. Both bathrooms are fully tiled. Laundry in unit private outdoor patio Please call today with any questions!",,"$4,700 ",3,2,1742
https://www.hotpads.com/6-mayall-rd-waltham-ma-02453-1j56zgj/6/pad,"Waltham Warrendale Apartment in family friendly neighborhood - great location close to MassPike! Easy commute to Boston! 6 Mayall Rd, Waltham, MA 02453-8213, United States Beautiful updated apartment featuring private entrance, hardwood floors, stainless steel appliances. New cabinets and granite. Private front porch. Recently stained floors. New laundry IN unit Brand new Central AC just put in! Updated bathroom. Private driveway 2 car",,"$3,200 ",2,1,1000
https://www.hotpads.com/46-chester-ave-medford-ma-02155-239xuem/0/pad,"**RARE SINGLE FAMILY**AVAILABLE NOW**This spacious 3 bedroom 2 bath boasts a newly renovated kitchen, full living room dining room, newly re-finished gleaming hardwood throughout. The entire house is drenched in sunlight. Long driveway with parking for up to 4 cars. Fenced in yard. This unit truly has it all. And its pet friendly.",,"$3,795 ",3,2,4095
https://www.hotpads.com/49-cameron-st-brookline-ma-02445-skemv0/2f/pad,(RLNE8156512),,"$2,600 ",1,1,
https://www.hotpads.com/79-monmouth-st-brookline-ma-02446-1wkx7m7/702g/pad,"AVAILABLE 10/01/2023 An extremely large, and modernized 3 bedroom, 2 full bath rental apartment located in a semi-luxury building on Monmouth Street in Brookline and the border of Boston. The unit is located in a professionally managed building that is just steps to Longwood Medical area, Beacon Street, the MBTA C & D lines, Park Drive, Beacon St, Boston University, and Fenway. Additional features include heat and hot water included in the rent, a private balcony, a large kitchen with full-size appliances, a large amount of closet space, an updated bath, and a huge living area with large windows and polished hardwood floors. The master bedroom has includes a full bathroom and walk-in closet. The building features include a 24-hour doorman, swimming pool, and garage parking available for rent! Please email Ben with any questions or to schedule a viewing of the property! BenC @ Benjaminapartments . com (no spaces) Ben Carroll of Benjamin Apartments & Cityside Homes Real Estate Professional Search Boston's largest selection of apartments at benjaminapartments . com Transportation Bus: 501 Cambridge St @ N Beacon St (0.03 mi) Bus: 86 Market St @ Centola St (0.59 mi) Bus: 64 N Beacon St @ Cambridge St (0.00 mi) Tram: B Allston Street (0.36 mi) Rail: Framingham/Worcester Line Boston Landing (0.26 mi) Bus: 66 Brighton Ave @ Cambridge St (0.08 mi) Bus: 57 Brighton Ave @ Harvard Ave (0.33 mi) **Benjamin Apartments has access to one of the largest rental databases in the greater Boston area. Even if this particular unit is not exactly what you are looking for in a rental unit, please reach out via email with what type of unit you are looking for, and we can share what else is currently available in the area BenC @ Benjaminapartments . com (no spaces)",,"$4,200 ",3,2,
https://www.hotpads.com/7-grant-st-dorchester-ma-02125-239xsh3/0/pad,,,"$4,100 ",5,2,1500
https://www.hotpads.com/50-dorothy-rd-arlington-ma-02474-1qewmwy/pad,"Sunlit, spacious 2 bedroom + Study (can also serve as a 3rd bedroom) apartment on the 2nd floor of a well kept East Arlington 2-family home. Large bedrooms and hardwood floors throughout. Open concept living room and dining room adjacent to an updated kitchen. Kitchen is equipped with stainless steel appliances, new cabinets, and countertops . Private front and back porches, shared back yard, 2 off street parking spaces on paved driveway and dedicated laundry in basement. Close to Mass Ave, Restaurants, Shops, CVS, Whole Foods, Trader Joe s, Capitol theater, Spy Pond and the Minuteman Commuter Bikeway. Easy access to Alewife Red Line T station, bus line to Harvard Sq, and Route 93 & 95. Available for September. First month, 1 month security and 1 month broker fee due at lease signing. Contact for a showing!",,"$2,950 ",2,1,
https://www.hotpads.com/8-winter-st-boston-ma-02108-skhvg0/4/pad,no broker fee. (RLNE8178038),,"$4,300 ",2,1,
https://www.hotpads.com/63-crescent-ave-dorchester-ma-02125-1j4qsuk/3/pad,"Gorgeous pet friendly 4 bed 1 bath, walking distance to JFK UMASS, really good size, beautiful renovated kitchen flexible move date",,"$3,400 ",3,1,1045
https://www.hotpads.com/147-grampian-way-dorchester-ma-02125-1j4qnek/pad,"Brand new condo-quality construction! Located in Dorchester's Savin Hill (over the bridge), this three-story unit features two master suites, a roof deck, two car tandem garage, and state-of-the art kitchen equipped with Thermador appliances. Stunning floor-to-ceiling windows allow natural light to flood into the living spaces and bedrooms while giving the perfect view of the surrounding greenery. -In unit laundry -Eat in kitchen/dining -Additional flex room for office, home gym, or in-law suite/guest room -Tons of storage",,"$6,000 ",4,3.5,2343
https://www.hotpads.com/80-beacon-st-boston-ma-02108-skem3z/1/pad,"Located in Beacon Hill across from the Public Garden, a spacious studio apartment in upscale condominium building. Room is large enough for both couch and bed setup. Heat and hot water are included, there is laundry in building, and a common roof deck with incredible views. Full size kitchen, decorative fireplace and hardwood parquet floors.",,"$2,100 ",Studio,1,348
https://www.hotpads.com/252-256-friend-st-boston-ma-02114-22yrnj5/1a/pad,Spacious 2 bedroom 2 bathroom in Downtown/North End. Close to TD Garden and North Station. Available for move in NOW. Hardwood flooring through out the apartment. Big windows for plenty of natural lighting. Virtual tour is available. Laundry in the building. 1 months broker fee. Call now! Bus: 92 N Washington St @ Cooper St (0.16 mi) Bus: 43 Beacon St @ Park St (0.49 mi) Bus: 93 N Washington St @ Medford St (0.16 mi) Bus: 15 Tremont St @ Beacon St (0.45 mi) Bus: Blue Line Shuttle State St @ Washington Mall - State St Sta (0.44 mi) Subway: Orange Line North Station (0.07 mi) Subway: Blue Line Bowdoin (0.23 mi) Bus: 4 Portland St @ Causeway St (0.05 mi) Tram: C Government Center (0.36 mi) Bus: Green Line Shuttle North Station (0.08 mi) Bus: 354 Sudbury St @ Congress St - Haymarket Sta (0.21 mi) Tram: E North Station (0.07 mi) Rail: Haverhill Line North Station (0.13 mi),,"$4,950 ",2,2,
https://www.hotpads.com/371-373-dorchester-st-boston-ma-02127-1pgguwb/pad,"Incredibly spacious and sunny in convenient South Boston location! This fantastic townhouse style apartment features a sunny living room and updated kitchen on the first level. The kitchen has a dishwasher and granite counters. Hardwood floors flow throughout the space. Upstairs are two spacious bedrooms, each with their own en-suite bathroom. The apartment also has a half bath for guests, in-unit laundry and a balcony. All of this in a great location convenient to Red Line, restaurants, shopping and more! Call today to see this great apartment! Joli Almeida, Boston Property Group",,"$3,000 ",2,2.5,9999
https://www.hotpads.com/185-saint-botolph-st-boston-ma-02115-skenhu/4/pad-for-sublet,Classic Brownstone Nice Area Professionally managed Close to T Near Universities Near Market Near Prudential and Copley Renovated Condo Updated Kitchen Tile Bath Hardwood Floors Large Windows Very Sunny We Have The Best Boston Apartments Many Options Other Options Available Newman and Company,,"$2,250 ",1,1,
https://www.hotpads.com/22-lake-shore-ct-brighton-ma-02135-tu9jbx/2/pad,"Beautiful two bedrooms apartment in one of the best areas in Brighton. Close to the T Green line and the buses on Washington St. Close to Boston College. Easy access to Masspike (90). Two good size bedrooms, large living room (hardwood flooring). Plenty of storage, including in the basement. Gas, heat, water, hot water, snow removal - included in rent. Central AC. Kitchen appliances: Range (gas), Oven, Dishwasher, Refrigerator, Garbage disposal. Laundry (washer/dryer) in the building. One designated off-street parking spot included. Tenant responsible for Electricity, Cable TV, Internet. No smoking. No pets. At least one year lease. Interested? Please email, I'll get back to you.",,"$2,600 ",2,1,820
https://www.hotpads.com/45-50-province-st-boston-ma-02108-239tr8v/pad,"Spacious 2 bed 2 bath condo in Luxury building. Located in Midtown. Updated kitchen with stainless steel appliances, central air, washer & dryer in unit. Modern bath. Big & bright windows. Spacious closets. Private balcony. 1 valet parking spot included in rent. Gas, heat & hot water included in rent. Available September 1st, 2023. The building features generous common outdoor space, 24 hour concierge, on-site fitness center, valet parking, pool & so much more. Building is located in the heart of downtown near the Financial District and within easy access to MGH. Red, Orange and Green train lines are located within a short walk. The Boston Commons is 1 block away. Bus: 7 Franklin St @ Devonshire St (0.19 mi) Bus: SL4 Washington St @ Essex St (0.37 mi) Bus: 501 Otis St @ Summer St (0.22 mi) Rail: Franklin/Foxboro Line South Station (0.47 mi) Bus: 43 Beacon St @ Park St (0.17 mi) Bus: Fairmount Line Shuttle South Station - Summer St @ Atlantic Ave (0.44 mi) Subway: Red Line Downtown Crossing (0.13 mi) Bus: SLW South Station (0.42 mi) Bus: Commuter Rail Shuttle South Station - Atlantic Ave @ Summer St (0.41 mi) Bus: SL5 Temple Pl @ Washington St (0.18 mi) Bus: SL1 Summer St @ Atlantic Ave (0.42 mi) Tram: C Park Street (0.14 mi) Subway: Orange Line Downtown Crossing (0.13 mi) Bus: 4 Congress St @ Franklin St (0.25 mi) Bus: 11 Chauncy St @ Summer St (0.21 mi) Tram: B Park Street (0.14 mi) Tram: D Park Street (0.14 mi) Tram: E Park Street (0.14 mi) Bus: 15 Tremont St @ Beacon St (0.06 mi) Bus: 92 Devonshire St @ Milk St (0.13 mi) Bus: 93 Devonshire St @ Water St (0.13 mi) Bus: Blue Line Shuttle State St @ Washington Mall - State St Sta (0.16 mi) Subway: Blue Line State (0.17 mi) Ferry: Charlestown Ferry Long Wharf (South) (0.50 mi) Bus: Green Line Shuttle Cambridge St @ Government Ctr Sta (0.19 mi)",,"$6,800 ",2,2,1318
https://www.hotpads.com/77-monmouth-st-brookline-ma-02446-1j56dqk/315d/pad,,,"$3,750 ",2,2,1500
https://www.hotpads.com/264-massachusetts-ave-arlington-ma-02474-skjmnr/305/pad,"Welcome to the fantastic East Arlington elevator building, a dream for Boston commuters and close to shops, restaurants & the Capitol Theater. Built in 2004, this one-bedroom unit boasts hardwood floors throughout and an open kitchen/living room with breakfast bar. Stainless appliances, dishwasher, disposal, ice maker, under-mount sink, and granite counters with matching backsplash in the kitchen. Enjoy a large bedroom with double closets, on-suite master bath, and a private balcony. Convenience is key with in-unit laundry and central A/C. Plus, you get 1 underground, garage parking space with elevator access. Modern living at its finest!",,"$2,500 ",1,1,750
https://www.hotpads.com/65-saxton-st-boston-ma-02125-smf2f3/1/pad,"Fantastic renovated 2 bed, 1 bath, 1st floor through in Dorchester s hottest neighborhood of Savin Hill and is just down the street from the Savin Hill Red line subway T stop. Features an open kitchen/dining/living floor plan, laundry in building, good size bedrooms. The kitchen has beautiful cabinets, granite countertop, new appliances. Easy access to I-93, Carson Beach, the Polish Triangle, South Bay Shoppings, red line subway, Star Market supermarket, and Dorchester s best restaurants, shops, and cafes.",,"$2,750 ",2,1,980
https://www.hotpads.com/28-greylock-rd-allston-ma-02134-spm5aj/105/pad,"Private entrance 2 bedroom apartment located at Newton line. Beautiful apartment which offers hardwood floors, nice upgraded kitchen, includes dishwasher and disposal, built in wall ac, extra large bedroom , one deeded parking space ,laundry room onsite . The bathroom was also renovated . Complex has a nice pool. It's great for living close to the city. Make this your home!",,"$4,800 ",5,2,1600
https://www.hotpads.com/158-boston-st-dorchester-ma-02125-239xv3g/0/pad,,,"$3,000 ",4,1,1400
