URL,Beds,Baths,Description,fee?
https://www.hotpads.com/boston-ma-02135-1j4twqt/1/pad,2,2,"**no broker fee brighton's new paradigm for condo living. situated in the city's booming western corridor in close proximity to boston landing, arsenal yards, & harvard's enterprise research campus, property is fully amenitized inside & out. overlooking a park and boasting gorgeous river and/or skyline views, the scenic beauty is matched only by the luxurious interior of this landmark project. the units are impeccably designed with hardwood flooring, gourmet kitchens with custom cabinetry, quartz counters & paneled appliances. the spa-like baths have marble tile, brass brizo fixtures & designer lighting. building amenities include: wifi co-working, private work pods, high-end fitness room, elegant resident lounge connecting to the common roof deck with sweeping views, pet wash, dog run & package room w/ refrigerated grocery storage. garage parking is the automated puzzle system. cats ok for additional $150 per month. dogs ok on a case by case basis for an additional $200 per month. security deposit negotiable. **sample photos of staged unit and common areas. take a look in person for views of actual unit**",no
https://www.hotpads.com/boston-ma-02135-sm09uw/1/pad,2,2,"**no broker fee brighton's new paradigm for condo living. situated in the city's booming western corridor in close proximity to boston landing, arsenal yards, & harvard's enterprise research campus, property is fully amenitized inside & out. overlooking a park and boasting gorgeous river and/or skyline views, the scenic beauty is matched only by the luxurious interior of this landmark project. the units are impeccably designed with hardwood flooring, gourmet kitchens with custom cabinetry, quartz counters & paneled appliances. the spa-like baths have marble tile, brass brizo fixtures & designer lighting. building amenities include: wifi co-working, private work pods, high-end fitness room, elegant resident lounge connecting to the common roof deck with sweeping views, pet wash, dog run & package room w/ refrigerated grocery storage. garage parking is the automated puzzle system. cats ok for additional $150 per month. dogs ok on a case by case basis for an additional $200 per month. security deposit negotiable. **sample photos of staged unit and common areas. take a look in person for views of actual unit**",no
https://www.hotpads.com/boston-ma-02128-1j4reab/1/pad,2,2,"**no broker fee jeffries point, is a 2 bed/2 bath with over 1000 sq ft of living area including private entry from 3rd fl. views of boston's skyline from the unit. 2 large bedrooms, both have walk in closets! main bedroom w/en suite bath. tons of natural light pours through numerous oversized windows. kitchen has quartz countertops, shaker cabinetry and stainless appliances. open concept w/large living area. plenty of closet space throughout unit. large second bedroom also has walk in closet. central ac, in-unit laundry, recessed lighting. common backyard, perfect for outdoor entertaining! walk to east boston's beautiful waterfront parks, maverick t station and be on major highways or at logan airport in less than 5 minutes! multiple desirable restaurants/bars in the neighborhood with more to come! security deposit negotiable. lease through 8/31/24. cats are ok for an additional $150 per month. dogs are approved on a case by case basis for an additional $200 per month. *all showings require a minimum of 24 hr notice**",no
https://www.hotpads.com/boston-ma-02128-tqcf0r/1/pad,2,2,"**no broker fee jeffries point, is a 2 bed/2 bath with over 1000 sq ft of living area including private entry from 3rd fl. views of boston's skyline from the unit. 2 large bedrooms, both have walk in closets! main bedroom w/en suite bath. tons of natural light pours through numerous oversized windows. kitchen has quartz countertops, shaker cabinetry and stainless appliances. open concept w/large living area. plenty of closet space throughout unit. large second bedroom also has walk in closet. central ac, in-unit laundry, recessed lighting. common backyard, perfect for outdoor entertaining! walk to east boston's beautiful waterfront parks, maverick t station and be on major highways or at logan airport in less than 5 minutes! multiple desirable restaurants/bars in the neighborhood with more to come! security deposit negotiable. lease through 8/31/24. cats are ok for an additional $150 per month. dogs are approved on a case by case basis for an additional $200 per month. *all showings require a minimum of 24 hr notice**",no
https://www.hotpads.com/winthrop-ma-02152-1vtz6gk/5/pad,2,1,"*no broker fee* - ocean front! beautifully renovated 2 bedroom, 1 bathroom apartment with incredible ocean views available for rent now! wake up in the morning and have your cup of coffee on your private, second floor, front porch overlooking the ocean! new bathroom, kitchen, flooring, and paint. located on the water, this cozy apartment home with modern touches is not going to last long. heat and hot water are included in the rent. laundry in building. move-in costs are first, last, security. #zillowfeed *photos may not be of actual unit for rent but are for illustration purposes",no
https://www.hotpads.com/19-vinal-st-brighton-ma-02135-sm0pfx/2t/pad,2,1,"*no fee* amazing kitchen reno, porch, top floor, ht/hw inc, *oct 1* *this apartment will go under renovation in september. it will be available for a 10/1 or 10/15 move-in date. pics are from a different unit in the same building. layout is identical. finishes will be identical* rent directly through management and pay no broker fees!! please call, text or email. email preferred eric sorenson leasing agent micozzi management 159 cambridge st allston ma 02134 as an equal opportunity housing provider, micozzi management provides housing opportunities regardless of race, color, national origin, religion, sex, physical or mental disability, familial status or any other classification protected by applicable federal, state or local law.",no
https://www.hotpads.com/154-washington-st-medford-ma-02155-1j4xt8g/pad,2,1,"$2800. superb location! no broker fee! avail oct 1! sunny, quiet, convenient, 2nd floor apt.in 2 family in medford. completely renovated. washer/dryer in basement possible. rooms sizes 12 x 14 '. very safe neighborhood. close to harvard, mit, tufts. new stainless steel kitchen appliances, new floors, new bathroom fixtures, flexible shower head, new paint, modern. ceiling fans. new bedroom floors. plenty of parking in front of house. five (5) min to wegman's, trader joe's, costco, starbucks, many gyms, ( blink $15/ month), lifetime fitness, assembly row, encore, local tennis, kayaking, bike trails (middlesex fells reservation) and bike paths, hiking, orange line, bus & route 93. six (6 )miles to boston seaport area, 4 miles to hls, 3 miles to mit, 1.5 miles to tufts/ davis sq, redline, malden center, winchester. perfect for graduate student or faculty who needs office space at home. security cameras and ring doorbell. no pets. no smoking. available oct 1 .",no
https://www.hotpads.com/91-gordon-st-brighton-ma-02135-skgh5p/16/pad,2,1,"available for september - no broker fee fantastic small 2 bedroom apartment. both rooms have closets! perfect for two people who would like to have maximum privacy as there is a a door on both rooms and the foyer will function as a living room. the apartment can also be used as a one bedroom apartment using the bigger room as the living area. porch outside! it's nice to have an outside space to grill or a spot to put a bike. laundry is downstairs in the basement and there is no cost for heat and hot water. heat and hot water are included in the rent. there is no fee on this apartment. please give me a call at the number on the photos or hit reply above. send me an email! green line b line t station right outside. walk to allston t stop or grigg's t stop on the train giving access to boston university in a snap! major supermarket access within walking distance to star market and super 88 supermarket. close to the 57, 66, and 65 bus lines to cambridge and longwood medical areas as well as harvard university and central square. there is laundry downstairs which is coin operated.",no
https://www.hotpads.com/600zz-columbia-rd-dorchester-ma-02125-23a349s/45zz/pad,2,1,available now!! no broker fee!! 2 bedroom 1 bathroom tons of natural sun light hardwood floor open concept updated stainless steel appliances disposal dishwasher in unit washer & dryer walk in closets high ceilings train: andrew station - red line bus: 15 dudley st @ belden st (0.07 mi) bus: 16 columbia rd @ stoughton st (0.02 mi) bus: 18 columbia rd @ pond st (0.30 mi) bus: fairmount line shuttle uphams corner - dudley st @ clifton st (0.25 mi) rail: franklin/foxboro line uphams corner (0.24 mi) bus: 8 columbia rd @ buttonwood st (0.50 mi),no
https://www.hotpads.com/310-maverick-st-boston-ma-02128-1xt6fpj/5/pad,2,2,"available now!! no broker fee!! penthouse loft style 2 bedroom 2 bathroom walk in closets tons of natural light pours numerous oversized windows quartz countertops shaker cabinetry stainless appliances open concept w/large living area central ac in-unit laundry recess lighting common backyard, perfect for outdoor entertaining! bus: 120 maverick st @ lamson st (0.02 mi) ferry: east boston ferry lewis wharf (0.49 mi) bus: blue line shuttle maverick (0.38 mi) subway: blue line maverick (0.38 mi) bus: 117 maverick (0.39 mi) bus: 116 meridian st @ havre st (0.50 mi)",no
https://www.hotpads.com/13-glenwood-ave-cambridge-ma-02139-1j4uvzz/1/pad,2,1,"available sept 1, 2023-beautiful remodel of this large 2 bedroom cambridgeport apartment with 1100+sq ft. 1st floor apartment with 2 large bedrooms (16x13 and 14x11) plus a storage area in finished basement, high ceilings, beautiful bay windows that let in tons of natural light, large eat-in kitchen with newer stainless stove, quartz countertop, beautiful oak hardwood floors, small outside deck overlooking the common grass backyard. washer/dryer in finished basement. close to harvard, mit and bu on a quiet tree lined street. just a short walk to trader joe's, starbucks, whole foods and walgreens. 14 minute walk to the t station (red line) at central square and a short walk over the bu bridge to t station. water and sewer included with rent. plentiful street parking with permit. no broker fee. first and last month's rent plus $1500 security deposit. cat okay.",no
https://www.hotpads.com/348-franklin-st-cambridge-ma-02139-skfhae/405/pad,2,2,"available sept 1. also have vacant 2 bed at property for $3900. no broker fee! huge 2 bed, 2 bath, (1000 s.f.), with w/d in unit, one block to central square, with balcony, fireplace, newly renovated granite and stainless kitchen, with kitchen bar, central a/c, gas heat. underground garage parking available for $200 per month. indoor and outdoor bike storage. only first and last month rent to move in. grad. students require additional security deposit but a co-signer is not needed. no broker fee and no application fee. dogs ok with a $75 per month fee and security deposit. please mail mark if you have any questions, would like to set up a showing, or see a video.",no
https://www.hotpads.com/111-2nd-st-cambridge-ma-02141-st9eqj/4/pad,2,2.5,"available sept 1. no broker fee! fantastic modern duplex (approx 1200sf), with granite kitchen, 2.5 baths, central a/c and washer/dryer in unit!! elegant shining blonde hardwood floors. one parking space included. great location near cambridgeside galleria, great restaurants, kendall square, red line t stop, lechmere green line stop, acess to mit, and easy walk t and commute to harvard square, or a bike ride to longfellow bridge to mass general, beacon hil, faneuil hall and downtown boston. easy access to all of cambridge. just a couple blocks from the beautiful esplanade river area. move-in costs are first and last months rent only. students ok but require an additional security deposit. contact mark with any questions, to set up a showing, or request a video.",no
https://www.hotpads.com/33-lennon-ct-south-boston-ma-02127-skf8uk/43/pad,2,1,"available september 15, 2023 walk out you door to the beach and castle island!!this adorable newer unit boasts lvp flooring, an updated kitchen with stainless steel appliances, laundry center in building and some storage space. the unit is semi-furnished with a perfect-fitting couch, the tv stand, and the tall table and stools as shown in photos. ideally located across from the water in a safe condo building! common laundry steps away. rented by owner to save you $ thousands with no broker fee. no security fee. just first and last months' rent. rent includes heat and hot water.",no
https://www.hotpads.com/62-ainsworth-st-boston-ma-02131-1j4sdjg/2/pad,2,1,"available september 1st -no broker fee be the first one to live in this lovely 2 bedroom apartment since it's been renovated! the new renovation includes fresh paint throughout, a new kitchen with dishwasher/disposal, new washer/dryer in unit, separate living room and dining room with working wood burning fireplace, a bonus room perfect for an office, newly rebuilt front and back private porches, new windows, and your own private garage parking is available for additional rent! just moments from roslindale village and the commuter rail at bellevue station, the location is super convenient to commute downtown. call or email us today to schedule a tour of this lovely apartment. no broker fee! first, last, security due w/lease. no pets, sorry.",no
https://www.hotpads.com/11-15-greylock-rd-allston-ma-02134-20wjyhb/2r/pad,2,2,awesome 2 bedroom 2 bathroom in allston. very close to packard's corner and boston university. available for move in on 9/1/2023. nice wood flooring through out the apartment. big windows for plenty of natural lighting. open kitchen with stainless steel appliances. washer and dryer in unit. parking is available for rent. no broker fee. call now! bus: 65 washington st @ commonwealth ave (0.60 mi) bus: 64 n beacon st @ cambridge st (0.28 mi) tram: b griggs street (0.10 mi) bus: 501 cambridge st @ barrows st (0.26 mi) rail: framingham/worcester line boston landing (0.54 mi) bus: 66 harvard ave @ commonwealth ave (0.19 mi) bus: 57 brighton ave @ harvard ave (0.24 mi),no
https://www.hotpads.com/341-349-franklin-st-cambridge-ma-02139-2394p57/403r/pad,2,2,awesome cambridge 2 bedroom 2 bath. very close to central square t station/red line. available for move in on 8/2/2023. hardwood flooring in the living room. big windows for plenty of natural lighting. mit and harvard both very close. washer and dryer hook ups. no broker fee! call now! bus: 47 green st @ magazine st (0.18 mi) bus: 70 western ave @ kinnaird st (0.10 mi) bus: 1 massachusetts ave opp inman st (0.09 mi) bus: 91 western ave @ green st (0.13 mi) subway: red line central (0.20 mi) bus: 68 broadway @ lee st (0.36 mi) bus: 69 quincy st @ harvard st (0.59 mi) bus: 83 hampshire st @ inman st (0.61 mi),no
https://www.hotpads.com/44-gerry-rd-brookline-ma-02467-1j57zp7/2/pad,2,1,"beautiful 2 bedroom townhome no broker fee (paid by landlord) washer and dryer in unit heat, hot water, water, sewer and gas included cat and dog friendly (40lb max) monthly pet rent is $45 per cat and $60 per dog (max 2 per unit) *does not come furnished resident lounge/cafe home office center conference room game room guest suite fitness center fitness trail on-site shopping plaza on-site parking ($50 - $75/month) bus: 51 independence dr @ gerry rd (0.05 mi) bus: 37 corey st @ marlin rd (0.61 mi)",no
https://www.hotpads.com/53-gerry-rd-brookline-ma-02467-1j58064/2/pad,2,1,"beautiful 2 bedroom townhome no broker fee (paid by landlord) washer and dryer in unit heat, hot water, water, sewer and gas included cat and dog friendly (40lb max) monthly pet rent is $45 per cat and $60 per dog (max 2 per unit) *does not come furnished resident lounge/cafe home office center conference room game room guest suite fitness center fitness trail on-site shopping plaza on-site parking ($50 - $75/month) bus: 51 independence dr @ gerry rd (0.05 mi) bus: 37 corey st @ marlin rd (0.61 mi)",no
https://www.hotpads.com/191-bunker-hill-st-charlestown-ma-02129-spm4ww/3a/pad,2,1,"charlestown **nice 2 bedroom condo with parking + central ac close to everything 2 bedrooms - 1 bathroom (900 sqf) - 1 off-street parking space - laundry room on the premises. conveniently located near financial center, north end, boston garden, route i-93, short distance to whole foods, restaurants, post office, banks, etc. special showing instructions: call for an appointment no broker fee - rented by owner. this is a condominium and not an apartment building. in a nice brick building, top floor, wall to wall carpet in bedrooms & ceramic title in kitchen, bathroom, and hallway. spacious rooms with good size closets.",no
https://www.hotpads.com/57-elm-st-charlestown-ma-02129-1j4rrkm/pad,2,2,"charlestown 2 bedroom, 2 bath for rent. ~1200 sq ft on 2 floors, w/d, dw, beverage center, outdoor space. rent $3850/mo + gas/electric. steps from bunker hill momument. conventient to everything. owner occupied. cat friendly. no broker fee. available immediately.",no
https://www.hotpads.com/183-kent-st-brookline-ma-02446-skem3b/16/pad,2,1,"fantastic 2br, 1ba with assigned parking, coolidge corner, brookline, ma by owner. no broker fees. fantastic bright 2 br, 1ba in a brick building with assigned parking in the heart of coolidge corner, brookline! 10 min walk to the longwood medical area, the greenline t, shops, restaurants, and parks. easy commute to downtown boston! available september 1st, 2023 through june 30th, 2024, with the option to extend one year hence. this third-floor apartment gets wonderful sunlight all day! features include a large living room, an updated eat-in kitchen with a dishwasher, disposal, 2 spacious bedrooms with ample closet space, and a lovely tile bathroom. gleaming hardwood floors and generous closet space throughout! parking directly behind the building. common laundry is on the premises. professionally managed association. one-year lease at $3,200/month. first and last month and security deposit due at lease.",no
https://www.hotpads.com/15-grove-st-boston-ma-02114-skfzxc/2b/pad,2,1,"gorgeous beacon hill one bed plus office. this renovated unit is located in the heart of boston, just steps away from mass general, shops, restaurants, and everything else boston has to offer! this stunning one bed offers top-of-the-line appliances, hardwood floors, recessed lighting, in-unit laundry, and modern bath. security deposit negotiable. dogs are considered on a case-by-case basis for an additional $200 per month. cats are ok for an additional $150 per month. no broker fee! available september 1st, 2023.",no
https://www.hotpads.com/16-24-chapel-st-brookline-ma-02446-238eqbv/909f/pad,2,2,huge 2 bedroom apartment in brookline. right in the longwood area with the t station just down the street giving you an easy commute. available for move in now and 9/1/2023. hardwood flooring through out the apartment. big windows for plenty of natural lighting and city views. central air conditioning. valet parking is available for rent. no broker fee. call now! bus: 66 harvard st @ aspinwall ave (0.60 mi) tram: e brigham circle (0.57 mi) bus: 65 brookline ave @ longwood ave (0.23 mi) bus: 39 ave louis pasteur @ longwood ave (0.48 mi) bus: 47 brookline ave @ longwood ave (0.25 mi) tram: d longwood (0.06 mi) tram: c hawes street (0.26 mi) bus: 8 brookline ave @ park dr (0.48 mi),no
https://www.hotpads.com/134-thornton-rd-chestnut-hill-ma-02467-skf6kw/pad,2,1.5,"limited time 1 month free rent promo. inquire for further details. luxurious townhome apartments. no broker fee. multiple layouts: open concept, standard/deluxe size units, berklee/arlington styles, inquire for more details! proximity and attendance to top rated schools: -public school: edith c. baker school. kindergarten to 8th grade. transition to brookline highschool. -private school: brimmer and may school. townhome residence features open-concept 1st floor recessed lighting private entrance courtyard / woodland views wall to wall hardwood floors laundry in unit central a/c off street parking ground floor patio modern gourmet kitchen custom kitchen maple cabinets & closet organizer systems kitchen island / breakfast bar dishwasher disposal water filtration system granite countertops microwave modern bathrooms first floor half bath carrera marble bathroom counters & tile floors on site management resident events guest suites fitness center fitness trail pet friendly residential business center with free wifi private shuttle to t stop on-site bus stops zip cars brand new state-of-the art clubhouse state of the art 3-story complex over 21,000 sqft outdoor pool multiple resident lounge areas resident business center with private offices fitness center entertainment suite internet cafe additional outdoor and garaged parking spots new recycling center",no
https://www.hotpads.com/10-20-lopez-ave-cambridge-ma-02141-238gd4f/3r/pad,2,1,modern 2 bedroom in cambridge. close to kendall square and mit. available for move in on 9/1/2023. hardwood flooring through out the apartment. big windows for plenty of natural lighting. open kitchen with stainless steel appliances. washer and dryer in unit. virtual tour is available. no broker fee. call now! bus: ct2 vassar st @ pacific st extension (0.36 mi) bus: 47 brookline st @ pacific st (0.04 mi) bus: 1 massachusetts ave @ sidney st (0.29 mi) bus: 70 franklin st @ sidney st (0.21 mi) bus: 91 magazine st @ green st (0.28 mi) subway: red line central (0.29 mi) bus: 68 broadway @ columbia st (0.60 mi),no
https://www.hotpads.com/142-n-beacon-st-brighton-ma-02135-svan7k/pad,2,1.5,"no broker fee - rent includes one parking.laundry hook up. central ac and heating, great location. grocery near by. on the bus line and near the station landing area",no
https://www.hotpads.com/1151-beacon-st-brookline-ma-02446-skf2u5/pad,2,2,"no broker fee --no security deposit with qualify applicant. convenient location in coolidge cornor located on the mbta green line.spacious apartment, in unit laundry, stainless steel appliances, central heating and cooling, and a private balcony. the building also offers on-site garage parking , 24-hour emergency maintenance. pet friendly and no student.virtual and in person tour available. no student.",no
https://www.hotpads.com/221-chelsea-st-east-boston-ma-02128-1j4rd7b/1/pad,2,1,"no broker fee beautiful 2 bedroom unit on the first floor in a multi-family house located within a walking distance to airport station and maverick square in east boston. unit features a living room and an updated kitchen with granite countertops and stainless steel appliances. hardwood floors throughout. coin-op laundry in the basement. on-street parking with a residential permit. easy access to the blue line, park, stores, restaurants and shops. cat friendly for $150/month. dog is considered on a case by case basis for an additional $200/month upon landlord's approval.",no
https://www.hotpads.com/223-chelsea-st-boston-ma-02128-tu9gxz/1/pad,2,1,"no broker fee beautiful 2 bedroom unit on the first floor in a multi-family house located within a walking distance to airport station and maverick square in east boston. unit features a living room and an updated kitchen with granite countertops and stainless steel appliances. hardwood floors throughout. coin-op laundry in the basement. on-street parking with a residential permit. easy access to the blue line, park, stores, restaurants and shops. cat friendly for $150/month. dog is considered on a case by case basis for an additional $200/month upon landlord's approval.",no
https://www.hotpads.com/241-chelsea-st-boston-ma-02128-1j4rdk2/1/pad,2,1,"no broker fee beautiful 2 bedroom unit on the first floor in a multi-family house located within a walking distance to airport station and maverick square in east boston. unit features a living room and an updated kitchen with granite countertops and stainless steel appliances. hardwood floors throughout. coin-op laundry in the basement. on-street parking with a residential permit. easy access to the blue line, park, stores, restaurants and shops. cat friendly for $150/month. dog is considered on a case by case basis for an additional $200/month upon landlord's approval.",no
https://www.hotpads.com/14-holden-st-dorchester-ma-02125-1j4qngv/2/pad,2,1,"no broker fee bright and spacious 2 bed/small office space in one of the bedrooms / 1 bath dorchester apartment. recently renovated and conveniently located near south bay shopping center and public transit. make this your home and enjoy this fantastic location in a quiet neighborhood. this apartment offers in unit laundry, basement locked storage, outdoor private deck space, brand new appliances. september 1 move in. apartment is deleaded",no
https://www.hotpads.com/102-chelsea-st-boston-ma-02128-1j4r9fx/1/pad,2,1,"no broker fee gut rehabbed in 2018. this beautiful 2 bedroom unit on the second floor in a multi-family house located between airport and maverick square blue line train station in east boston.features a living room, modern bath and modern kitchen with granite countertops and stainless steel appliances. new hvac system. gleaming hardwood floors throughout. private stackable washer/dryer in the unit. small shared back yard and back deck. on-street parking with a residential permit. 5 minutes walk to the blue line train station and less than 5 minute walk to east boston memorial park, restaurants, stores and shops.",no
https://www.hotpads.com/181-1-bennington-st-east-boston-ma-02128-1zkx5kw/1/pad,2,1,"no broker fee!! 2022 construction 2 bed 1 bath bi-level apartment in the heart of east boston! condo quality finishes, stainless steel appliances and in unit washer and dryer. this unit features a large living area perfect for additional work from home space! within close proximity to the blue line, day square and access to the highway. come see all east boston has to offer!",no
https://www.hotpads.com/8-winter-st-boston-ma-02108-skhvg0/4/pad,2,1,no broker fee. (rlne8178038),no
https://www.hotpads.com/190-210-colony-ave-boston-ma-02127-239u51g/pad,2,2,south boston 2 bedroom 2 bathroom. very close to andrew sq/red line. available for move in on 9/1/2023. nice new flooring through out the apartment. open kitchen with stainless steel appliances. washer and dryer in unit. garage parking for rent. no broker fee. call now! bus: 16 preble st @ vinton st (0.26 mi) bus: 10 dorchester st @ old colony ave (0.11 mi) subway: red line andrew (0.28 mi) bus: 11 e 8th st @ dorchester st (0.15 mi) bus: 9 w broadway @ e st (0.39 mi),no
https://www.hotpads.com/88-kingston-st-boston-ma-02111-skensj/6f/pad,2,2,"spacious two bedroom, two bathroom featuring in-unit laundry, walk-in closet, high-end finishes, kitchen island, and a ton of natural light. located in luxury complex with fitness center, concierge, resident lounge, and more. close proximity to south station, route i-93 and route i-90. garage parking available for an additional monthly cost. pet friendly! available now. no broker fee!",no
https://www.hotpads.com/57-hancock-st-medford-ma-02155-1j4y2vv/1/pad,2,1,"welcome to your new home in the heart of medford! this charming 2-bedroom apartment is conveniently located to public transportation and major highways, making commuting to boston and surrounding areas a breeze. as you step into this space, you'll be greeted by an abundance of natural light, brand new stainless steel appliances, an upgraded kitchen and bathroom, and convenient washer dryer hookups in the basement. say goodbye to stuffy summers and cold winters with the luxury of brand-new energy efficient central heating and cooling. hardwood floors throughout living, dining, and bedrooms for easy maintenance. additional storage space available in the basement. no pets. no broker fee! ample street parking available.",no
https://www.hotpads.com/150-n-beacon-st-boston-ma-02116-1z6jak0/1/pad,2,1.5,wow! duplex huge beautiful lots of natural light washer/ dryer hook up central a/c private deck no broker fee,no
https://www.hotpads.com/101-chelsea-st-boston-ma-02128-23253f1/0/pad,2,1,"available 9/1/23 no brokers fee! beautiful 2 bedroom unit on the first floor in a multi-family house located within a walking distance to airport station and maverick square in east boston. unit features a living room and an updated kitchen with granite countertops and stainless steel appliances. hardwood floors throughout. coin-op laundry in the basement. on-street parking with a residential permit. easy access to the blue line, park, stores, restaurants and shops. cat friendly for $150/month. dog is considered on a case by case basis for an additional $200/month upon landlord's approval.",no
https://www.hotpads.com/2971-washington-st-roxbury-ma-02119-ss37yb/1l/pad,2,1,available 9/1/23 no brokers fee! beautiful 2 bedroom unit on the first floor in mid-rise brick building located between stony brook and jackson square in roxbury. living room. granite kitchen with stainless steel appliances. kitchen also has a beautiful glass back splash. natural stone tile. stylish designer bathroom. central air! crown molding and recess lighting. walnut stained hardwood floors throughout. on-street parking with a residential permit. easy access to the orange line train station. dogs are ok upon landlord approval for an additional $200 per month. cats ok for an additional $150 per month. security deposit negotiable.,no
https://www.hotpads.com/9-sumner-park-boston-ma-02125-uv22z4/2/pad,2,1,"no fee! available for sept. 1. this bright, newly renovated home boasts stainless steel appliances, in unit w/d, hardwood floors throughout and an open living room/dining room. access to two private decks, one at the front and one at the back of the apartment home, for your exclusive use, in addition to a shared backyard which offers a dining space and grill. all of this is within steps of savin hill, the red line, local eateries, bars, market's and shops. contact listing agent directly for showings.",no
https://www.hotpads.com/37-vernon-st-brookline-ma-02446-1pv1w9y/213/pad,2,1,-heat and hot water included -laundry in the building -cats allowed -easy access to the t -clean updated bathroom -modern eat in kitchen (*no fee) (*work-in professionals only) call/text taylor serrano today! available 24/7 city central realty has many listings with flexible move dates - and we are always available 7 days a week by appointment! disclaimer: the rental market moves quickly; this unit may no longer be available.,no
